timestamp1,timestamp2,difference
1678995622163628000,1678995622164822000,1194000
1678995622163629000,1678995622164822000,1193000
1678995622163630000,1678995622164823000,1193000
1678995622163631000,1678995622164824000,1193000
1678995622163631000,1678995622164825000,1194000
1678995622163632000,1678995622164826000,1194000
1678995622163633000,1678995622164827000,1194000
1678995622163634000,1678995622164828000,1194000
1678995622163635000,1678995622164828000,1193000
1678995622163636000,1678995622164829000,1193000
1678995622163637000,1678995622164830000,1193000
1678995622163637000,1678995622164831000,1194000
1678995622163638000,1678995622164832000,1194000
1678995622163639000,1678995622164833000,1194000
1678995622163640000,1678995622164833000,1193000
1678995622163641000,1678995622164834000,1193000
1678995622163642000,1678995622164835000,1193000
1678995622163643000,1678995622164836000,1193000
1678995622163643000,1678995622164837000,1194000
1678995622163644000,1678995622164838000,1194000
1678995622163645000,1678995622164839000,1194000
1678995622163646000,1678995622164839000,1193000
1678995622163647000,1678995622164840000,1193000
1678995622163650000,1678995622164841000,1191000
1678995622163651000,1678995622164842000,1191000
1678995622163652000,1678995622164843000,1191000
1678995622163652000,1678995622164844000,1192000
1678995622163653000,1678995622164845000,1192000
1678995622163654000,1678995622164845000,1191000
1678995622163655000,1678995622164846000,1191000
1678995622163656000,1678995622164847000,1191000
1678995622163657000,1678995622164848000,1191000
1678995622163657000,1678995622164849000,1192000
1678995622163658000,1678995622164850000,1192000
1678995622163659000,1678995622164851000,1192000
1678995622163660000,1678995622164851000,1191000
1678995622163661000,1678995622164852000,1191000
1678995622163662000,1678995622164853000,1191000
1678995622163663000,1678995622164854000,1191000
1678995622163663000,1678995622164855000,1192000
1678995622163664000,1678995622164856000,1192000
1678995622163665000,1678995622164856000,1191000
1678995622163666000,1678995622164857000,1191000
1678995622163667000,1678995622164858000,1191000
1678995622163668000,1678995622164859000,1191000
1678995622163669000,1678995622164860000,1191000
1678995622163670000,1678995622164861000,1191000
1678995622163670000,1678995622164862000,1192000
1678995622163671000,1678995622164862000,1191000
1678995622163672000,1678995622164863000,1191000
1678995622163673000,1678995622164864000,1191000
1678995622163674000,1678995622164865000,1191000
1678995622163675000,1678995622164866000,1191000
1678995622163676000,1678995622164867000,1191000
1678995622163676000,1678995622164868000,1192000
1678995622163677000,1678995622164868000,1191000
1678995622163678000,1678995622164869000,1191000
1678995622163679000,1678995622164870000,1191000
1678995622163680000,1678995622164871000,1191000
1678995622163681000,1678995622164872000,1191000
1678995622163682000,1678995622164873000,1191000
1678995622163682000,1678995622164873000,1191000
1678995622163683000,1678995622164874000,1191000
1678995622163684000,1678995622164875000,1191000
1678995622163685000,1678995622164876000,1191000
1678995622163686000,1678995622164877000,1191000
1678995622163687000,1678995622164878000,1191000
1678995622163688000,1678995622164879000,1191000
1678995622163688000,1678995622164879000,1191000
1678995622163689000,1678995622164880000,1191000
1678995622163690000,1678995622164881000,1191000
1678995622163691000,1678995622164882000,1191000
1678995622163692000,1678995622164883000,1191000
1678995622163695000,1678995622164884000,1189000
1678995622163696000,1678995622164885000,1189000
1678995622163696000,1678995622164885000,1189000
1678995622163697000,1678995622164886000,1189000
1678995622163698000,1678995622164887000,1189000
1678995622163699000,1678995622164888000,1189000
1678995622163700000,1678995622164889000,1189000
1678995622163701000,1678995622164890000,1189000
1678995622163756000,1678995622164925000,1169000
